Complaint_No,Weapon_Type
20140104230600,"Personal Weapons (hands,feet,teeth,etc.)"
20140104233001,Not Applicable/None                     
20140104233001,Knife                                   
20140104234302,"Personal Weapons (hands,feet,teeth,etc.)"
20140104234302,Handgun                                 
20140104234404,Other Weapon                            
20140105000202,Handgun                                 
20140105001201,"Personal Weapons (hands,feet,teeth,etc.)"
20140105002600,"Personal Weapons (hands,feet,teeth,etc.)"
20140105002603,Handgun                                 
20140105003101,"Personal Weapons (hands,feet,teeth,etc.)"
20140105004701,Handgun                                 
20140105005601,"Personal Weapons (hands,feet,teeth,etc.)"
20140105005602,"Personal Weapons (hands,feet,teeth,etc.)"
20140105012700,Not Applicable/None                     
20140105013602,"Personal Weapons (hands,feet,teeth,etc.)"
20140105074602,"Blunt Object(club,hammer,etc)           "
20140105110202,Not Applicable/None                     
20140105112100,"Personal Weapons (hands,feet,teeth,etc.)"
20140105115000,"Personal Weapons (hands,feet,teeth,etc.)"
20140105121900,"Personal Weapons (hands,feet,teeth,etc.)"
20140105122101,"Personal Weapons (hands,feet,teeth,etc.)"
20140105122300,Knife                                   
20140105122300,Unknown/Not Stated                      
20140105122901,"Personal Weapons (hands,feet,teeth,etc.)"
20140105123000,"Personal Weapons (hands,feet,teeth,etc.)"
20140105130003,"Personal Weapons (hands,feet,teeth,etc.)"
20140105134200,Handgun                                 
20140105145801,"Personal Weapons (hands,feet,teeth,etc.)"
20140105145801,Handgun                                 
20140105150603,Not Applicable/None                     
20140105151200,"Personal Weapons (hands,feet,teeth,etc.)"
20140105151201,"Personal Weapons (hands,feet,teeth,etc.)"
20140105163002,Not Applicable/None                     
20140105164503,"Personal Weapons (hands,feet,teeth,etc.)"
20140105171500,"Personal Weapons (hands,feet,teeth,etc.)"
20140105171701,Other Weapon                            
20140105171701,"Personal Weapons (hands,feet,teeth,etc.)"
20140105175803,Handgun                                 
20140105181201,Rifle                                   
20140105191700,Knife                                   
20140105191701,"Personal Weapons (hands,feet,teeth,etc.)"
20140105192200,Other Weapon                            
20140105195100,"Personal Weapons (hands,feet,teeth,etc.)"
20140105195901,"Personal Weapons (hands,feet,teeth,etc.)"
20140105195901,Other Weapon                            
20140105200302,Handgun                                 
20140105212201,"Blunt Object(club,hammer,etc)           "
20140105212400,Handgun                                 
20140105223300,"Personal Weapons (hands,feet,teeth,etc.)"
20140105224701,"Personal Weapons (hands,feet,teeth,etc.)"
20140105225900,"Personal Weapons (hands,feet,teeth,etc.)"
20140105232301,Handgun                                 
20140105235903,"Personal Weapons (hands,feet,teeth,etc.)"
20140106010001,"Personal Weapons (hands,feet,teeth,etc.)"
20140106012701,Handgun                                 
20140106023100,Handgun                                 
20140106052600,"Personal Weapons (hands,feet,teeth,etc.)"
20140106061800,"Personal Weapons (hands,feet,teeth,etc.)"
20140106080901,Handgun                                 
20140106085301,"Personal Weapons (hands,feet,teeth,etc.)"
20140106085701,Handgun                                 
20140106093808,"Personal Weapons (hands,feet,teeth,etc.)"
20140106094600,"Personal Weapons (hands,feet,teeth,etc.)"
20140106104001,"Personal Weapons (hands,feet,teeth,etc.)"
20140106105300,"Personal Weapons (hands,feet,teeth,etc.)"
20140106110104,Not Applicable/None                     
20140106120207,"Personal Weapons (hands,feet,teeth,etc.)"
20140106132401,Handgun                                 
20140106132704,"Personal Weapons (hands,feet,teeth,etc.)"
20140106134101,"Personal Weapons (hands,feet,teeth,etc.)"
20140106135800,Not Applicable/None                     
20140106142800,Not Applicable/None                     
20140106151201,Not Applicable/None                     
20140106155501,"Personal Weapons (hands,feet,teeth,etc.)"
20140106165301,"Personal Weapons (hands,feet,teeth,etc.)"
20140106175401,"Personal Weapons (hands,feet,teeth,etc.)"
20140106175801,"Personal Weapons (hands,feet,teeth,etc.)"
20140106180201,Knife                                   
20140106182400,"Personal Weapons (hands,feet,teeth,etc.)"
20140106184701,"Personal Weapons (hands,feet,teeth,etc.)"
20140106193201,"Personal Weapons (hands,feet,teeth,etc.)"
20140106200800,"Personal Weapons (hands,feet,teeth,etc.)"
20140106200901,"Personal Weapons (hands,feet,teeth,etc.)"
20140106201103,Not Applicable/None                     
20140106201201,"Personal Weapons (hands,feet,teeth,etc.)"
20140106204700,"Personal Weapons (hands,feet,teeth,etc.)"
20140106214802,"Personal Weapons (hands,feet,teeth,etc.)"
20140106225103,Shotgun                                 
20140106235000,"Personal Weapons (hands,feet,teeth,etc.)"
20140107000201,"Personal Weapons (hands,feet,teeth,etc.)"
20140107003200,"Personal Weapons (hands,feet,teeth,etc.)"
20140107012702,Handgun                                 
20140107012702,Shotgun                                 
20140107031202,"Personal Weapons (hands,feet,teeth,etc.)"
20140107043000,"Personal Weapons (hands,feet,teeth,etc.)"
20140107073501,"Personal Weapons (hands,feet,teeth,etc.)"
20140107104106,"Personal Weapons (hands,feet,teeth,etc.)"
20140107111900,Other Weapon                            
20140107111900,"Personal Weapons (hands,feet,teeth,etc.)"
20140107111902,"Personal Weapons (hands,feet,teeth,etc.)"
20140107114301,"Personal Weapons (hands,feet,teeth,etc.)"
20140107120502,"Personal Weapons (hands,feet,teeth,etc.)"
20140107130805,"Personal Weapons (hands,feet,teeth,etc.)"
20140107131504,"Personal Weapons (hands,feet,teeth,etc.)"
20140107131801,"Personal Weapons (hands,feet,teeth,etc.)"
20140107133305,Handgun                                 
20140107135502,"Personal Weapons (hands,feet,teeth,etc.)"
20140107150501,"Personal Weapons (hands,feet,teeth,etc.)"
20140107151605,"Personal Weapons (hands,feet,teeth,etc.)"
20140107160200,"Personal Weapons (hands,feet,teeth,etc.)"
20140107161400,"Blunt Object(club,hammer,etc)           "
20140107161900,"Personal Weapons (hands,feet,teeth,etc.)"
20140107161900,Handgun                                 
20140107162804,"Personal Weapons (hands,feet,teeth,etc.)"
20140107170700,"Personal Weapons (hands,feet,teeth,etc.)"
20140107181002,"Personal Weapons (hands,feet,teeth,etc.)"
20140107194700,"Personal Weapons (hands,feet,teeth,etc.)"
20140107194700,Rifle                                   
20140107205001,Handgun                                 
20140107205001,"Personal Weapons (hands,feet,teeth,etc.)"
20140107213201,"Personal Weapons (hands,feet,teeth,etc.)"
20140107215104,Knife                                   
20140107215104,"Personal Weapons (hands,feet,teeth,etc.)"
20140107220702,Undetermined Firearm                    
20140107220703,Not Applicable/None                     
20140107222002,"Personal Weapons (hands,feet,teeth,etc.)"
20140107223002,"Personal Weapons (hands,feet,teeth,etc.)"
20140107223003,"Personal Weapons (hands,feet,teeth,etc.)"
20140107234403,"Personal Weapons (hands,feet,teeth,etc.)"
20140108004602,"Personal Weapons (hands,feet,teeth,etc.)"
20140108013800,"Personal Weapons (hands,feet,teeth,etc.)"
20140108040103,"Personal Weapons (hands,feet,teeth,etc.)"
20140108042000,"Personal Weapons (hands,feet,teeth,etc.)"
20140108043701,Handgun                                 
20140108060900,Undetermined Firearm                    
20140108070601,Handgun                                 
20140108072101,"Personal Weapons (hands,feet,teeth,etc.)"
20140108124100,Handgun                                 
20140108131000,Handgun                                 
20140108134202,"Blunt Object(club,hammer,etc)           "
20140108135703,"Blunt Object(club,hammer,etc)           "
20140108154302,"Personal Weapons (hands,feet,teeth,etc.)"
20140108165102,Shotgun                                 
20140108175200,Razor                                   
20140108175404,Handgun                                 
20140108181702,"Personal Weapons (hands,feet,teeth,etc.)"
20140108183100,Handgun                                 
20140108185200,"Personal Weapons (hands,feet,teeth,etc.)"
20140108195704,Handgun                                 
20140108210904,"Personal Weapons (hands,feet,teeth,etc.)"
20140108211500,Handgun                                 
20140108212702,"Personal Weapons (hands,feet,teeth,etc.)"
20140108223903,Handgun                                 
20140108225102,"Personal Weapons (hands,feet,teeth,etc.)"
20140109000001,"Blunt Object(club,hammer,etc)           "
20140109001303,"Personal Weapons (hands,feet,teeth,etc.)"
20140109022103,Handgun                                 
20140109025400,"Personal Weapons (hands,feet,teeth,etc.)"
20140109071101,"Personal Weapons (hands,feet,teeth,etc.)"
20140109073600,"Personal Weapons (hands,feet,teeth,etc.)"
20140109075004,"Personal Weapons (hands,feet,teeth,etc.)"
20140109081204,Handgun                                 
20140109093704,"Personal Weapons (hands,feet,teeth,etc.)"
20140109104203,Knife                                   
20140109104701,"Personal Weapons (hands,feet,teeth,etc.)"
20140109105001,"Personal Weapons (hands,feet,teeth,etc.)"
20140109115102,Not Applicable/None                     
20140109142203,"Personal Weapons (hands,feet,teeth,etc.)"
20140109145801,"Personal Weapons (hands,feet,teeth,etc.)"
20140109153301,Not Applicable/None                     
20140109153404,Handgun                                 
20140109161300,"Personal Weapons (hands,feet,teeth,etc.)"
20140109161402,Handgun                                 
20140109163806,"Personal Weapons (hands,feet,teeth,etc.)"
20140109171501,"Personal Weapons (hands,feet,teeth,etc.)"
20140109180906,"Personal Weapons (hands,feet,teeth,etc.)"
20140109190200,"Personal Weapons (hands,feet,teeth,etc.)"
20140109192201,"Blunt Object(club,hammer,etc)           "
20140109194601,"Personal Weapons (hands,feet,teeth,etc.)"
20140109201001,Handgun                                 
20140109201901,"Personal Weapons (hands,feet,teeth,etc.)"
20140109202200,"Personal Weapons (hands,feet,teeth,etc.)"
20140109202302,Explosives                              
20140109202302,Handgun                                 
20140109203000,Handgun                                 
20140109205004,Rifle                                   
20140110001301,Not Applicable/None                     
20140110002101,"Personal Weapons (hands,feet,teeth,etc.)"
20140110004505,Shotgun                                 
20140110014800,Not Applicable/None                     
20140110022100,"Personal Weapons (hands,feet,teeth,etc.)"
20140110031700,"Personal Weapons (hands,feet,teeth,etc.)"
20140110082005,"Personal Weapons (hands,feet,teeth,etc.)"
20140110095104,"Personal Weapons (hands,feet,teeth,etc.)"
20140110102605,"Personal Weapons (hands,feet,teeth,etc.)"
20140110115701,"Personal Weapons (hands,feet,teeth,etc.)"
20140110121702,"Personal Weapons (hands,feet,teeth,etc.)"
20140110121900,"Personal Weapons (hands,feet,teeth,etc.)"
20140110124203,Razor                                   
20140110130401,Vehicle                                 
20140110133902,"Personal Weapons (hands,feet,teeth,etc.)"
20140110145700,"Personal Weapons (hands,feet,teeth,etc.)"
20140110152200,"Personal Weapons (hands,feet,teeth,etc.)"
20140110153203,"Personal Weapons (hands,feet,teeth,etc.)"
20140110153400,Handgun                                 
20140110155507,"Personal Weapons (hands,feet,teeth,etc.)"
20140110163200,"Personal Weapons (hands,feet,teeth,etc.)"
20140110163401,"Personal Weapons (hands,feet,teeth,etc.)"
20140110173802,Handgun                                 
20140110175602,Not Applicable/None                     
20140110180802,Handgun                                 
20140110183801,"Personal Weapons (hands,feet,teeth,etc.)"
20140110185805,"Personal Weapons (hands,feet,teeth,etc.)"
20140110193601,Handgun                                 
20140110194200,"Personal Weapons (hands,feet,teeth,etc.)"
20140110200504,"Personal Weapons (hands,feet,teeth,etc.)"
20140110205500,Not Applicable/None                     
20140110205500,Knife                                   
20140110210002,"Personal Weapons (hands,feet,teeth,etc.)"
20140110210502,Handgun                                 
20140110211401,"Personal Weapons (hands,feet,teeth,etc.)"
20140110211602,"Personal Weapons (hands,feet,teeth,etc.)"
20140110213704,Handgun                                 
20140110220001,"Personal Weapons (hands,feet,teeth,etc.)"
20140110223302,Handgun                                 
20140110233300,Unknown/Not Stated                      
20140110233401,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20140111000502,Handgun                                 
20140111015204,"Personal Weapons (hands,feet,teeth,etc.)"
20140111020306,Handgun                                 
20140111020306,Knife                                   
20140111043000,"Personal Weapons (hands,feet,teeth,etc.)"
20140111043100,"Personal Weapons (hands,feet,teeth,etc.)"
20140111043600,"Personal Weapons (hands,feet,teeth,etc.)"
20140111063902,"Personal Weapons (hands,feet,teeth,etc.)"
20140111071401,"Personal Weapons (hands,feet,teeth,etc.)"
20140111071401,Ax/Hatchet                              
20140111080002,Not Applicable/None                     
20140111081302,"Personal Weapons (hands,feet,teeth,etc.)"
20140111082400,"Personal Weapons (hands,feet,teeth,etc.)"
20140111104206,"Personal Weapons (hands,feet,teeth,etc.)"
20140111131902,"Personal Weapons (hands,feet,teeth,etc.)"
20140111140800,"Personal Weapons (hands,feet,teeth,etc.)"
20140111145901,"Personal Weapons (hands,feet,teeth,etc.)"
20140111151003,"Personal Weapons (hands,feet,teeth,etc.)"
20140111155402,"Personal Weapons (hands,feet,teeth,etc.)"
20140111164500,"Personal Weapons (hands,feet,teeth,etc.)"
20140111165902,"Personal Weapons (hands,feet,teeth,etc.)"
20140111170000,Handgun                                 
20140111172301,Rifle                                   
20140111195000,"Personal Weapons (hands,feet,teeth,etc.)"
20140111200002,"Personal Weapons (hands,feet,teeth,etc.)"
20140111202602,Handgun                                 
20140111210302,"Personal Weapons (hands,feet,teeth,etc.)"
20140111210302,Knife                                   
20140111221200,Handgun                                 
20140111223000,Knife                                   
20140111232102,Undetermined Firearm                    
20140111232102,"Personal Weapons (hands,feet,teeth,etc.)"
20140111233000,"Personal Weapons (hands,feet,teeth,etc.)"
20140111235702,"Personal Weapons (hands,feet,teeth,etc.)"
20140112001800,"Personal Weapons (hands,feet,teeth,etc.)"
20140112005400,"Personal Weapons (hands,feet,teeth,etc.)"
20140112013700,"Personal Weapons (hands,feet,teeth,etc.)"
20140112014301,"Personal Weapons (hands,feet,teeth,etc.)"
20140112021400,Handgun                                 
20140112022303,"Personal Weapons (hands,feet,teeth,etc.)"
20140112025701,Shotgun                                 
20140112034601,"Personal Weapons (hands,feet,teeth,etc.)"
20140112050704,Other Weapon                            
20140112055002,Undetermined Firearm                    
20140112104101,Shotgun                                 
20140112111001,"Personal Weapons (hands,feet,teeth,etc.)"
20140112114000,"Personal Weapons (hands,feet,teeth,etc.)"
20140112131100,"Personal Weapons (hands,feet,teeth,etc.)"
20140112143000,"Personal Weapons (hands,feet,teeth,etc.)"
20140112143000,Handgun                                 
20140112143300,"Personal Weapons (hands,feet,teeth,etc.)"
20140112145102,Not Applicable/None                     
20140112150901,"Personal Weapons (hands,feet,teeth,etc.)"
20140112152505,"Personal Weapons (hands,feet,teeth,etc.)"
20140112154905,"Personal Weapons (hands,feet,teeth,etc.)"
20140112160401,Unknown/Not Stated                      
20140112161901,Handgun                                 
20140112164102,"Personal Weapons (hands,feet,teeth,etc.)"
20140112165303,"Personal Weapons (hands,feet,teeth,etc.)"
20140112175902,"Personal Weapons (hands,feet,teeth,etc.)"
20140112180801,Other Weapon                            
20140112182500,"Personal Weapons (hands,feet,teeth,etc.)"
20140112182900,Not Applicable/None                     
20140112183201,"Personal Weapons (hands,feet,teeth,etc.)"
20140112185103,"Personal Weapons (hands,feet,teeth,etc.)"
20140112185900,"Personal Weapons (hands,feet,teeth,etc.)"
20140112185902,"Personal Weapons (hands,feet,teeth,etc.)"
20140112200802,"Personal Weapons (hands,feet,teeth,etc.)"
20140112201500,"Personal Weapons (hands,feet,teeth,etc.)"
20140112202000,"Personal Weapons (hands,feet,teeth,etc.)"
20140112212002,"Personal Weapons (hands,feet,teeth,etc.)"
20140112220301,"Personal Weapons (hands,feet,teeth,etc.)"
20140112235500,"Personal Weapons (hands,feet,teeth,etc.)"
20140113004101,"Personal Weapons (hands,feet,teeth,etc.)"
20140113012702,"Personal Weapons (hands,feet,teeth,etc.)"
20140113032701,"Personal Weapons (hands,feet,teeth,etc.)"
20140113043802,"Personal Weapons (hands,feet,teeth,etc.)"
20140113050101,"Personal Weapons (hands,feet,teeth,etc.)"
20140113062200,"Personal Weapons (hands,feet,teeth,etc.)"
20140113070500,Handgun                                 
20140113071501,"Personal Weapons (hands,feet,teeth,etc.)"
20140113081201,"Personal Weapons (hands,feet,teeth,etc.)"
20140113081408,"Personal Weapons (hands,feet,teeth,etc.)"
20140113084201,Knife                                   
20140113095200,Other Weapon                            
20140113100702,"Personal Weapons (hands,feet,teeth,etc.)"
20140113103005,Razor                                   
20140113113900,Knife                                   
20140113113900,"Personal Weapons (hands,feet,teeth,etc.)"
20140113123303,Handgun                                 
20140113124406,"Personal Weapons (hands,feet,teeth,etc.)"
20140113124500,"Personal Weapons (hands,feet,teeth,etc.)"
20140113131801,Other Weapon                            
20140113142400,"Personal Weapons (hands,feet,teeth,etc.)"
20140113144303,"Personal Weapons (hands,feet,teeth,etc.)"
20140113144901,"Personal Weapons (hands,feet,teeth,etc.)"
20140113150201,"Personal Weapons (hands,feet,teeth,etc.)"
20140113163200,"Personal Weapons (hands,feet,teeth,etc.)"
20140113171303,"Personal Weapons (hands,feet,teeth,etc.)"
20140113171903,Handgun                                 
20140113172700,Handgun                                 
20140113173800,"Personal Weapons (hands,feet,teeth,etc.)"
20140113175604,"Personal Weapons (hands,feet,teeth,etc.)"
20140113182602,"Personal Weapons (hands,feet,teeth,etc.)"
20140113190001,"Personal Weapons (hands,feet,teeth,etc.)"
20140113190001,Handgun                                 
20140113192201,Handgun                                 
20140113201502,Handgun                                 
20140113204101,Knife                                   
20140113204101,"Personal Weapons (hands,feet,teeth,etc.)"
20140113211802,"Personal Weapons (hands,feet,teeth,etc.)"
20140113214800,Not Applicable/None                     
20140113220101,Handgun                                 
20140113221601,"Personal Weapons (hands,feet,teeth,etc.)"
20140113225005,Handgun                                 
20140113233302,Handgun                                 
20140113235300,Handgun                                 
20140113235603,Handgun                                 
20140114005901,"Personal Weapons (hands,feet,teeth,etc.)"
20140114014601,Handgun                                 
20140114063301,Not Applicable/None                     
20140114105301,Handgun                                 
20140114113401,Other Weapon                            
20140114123203,"Personal Weapons (hands,feet,teeth,etc.)"
20140114123701,"Personal Weapons (hands,feet,teeth,etc.)"
20140114133900,"Personal Weapons (hands,feet,teeth,etc.)"
20140114134301,"Personal Weapons (hands,feet,teeth,etc.)"
20140114141705,Not Applicable/None                     
20140114142203,"Personal Weapons (hands,feet,teeth,etc.)"
20140114152303,Handgun                                 
20140114152800,"Personal Weapons (hands,feet,teeth,etc.)"
20140114160000,"Personal Weapons (hands,feet,teeth,etc.)"
20140114161703,"Personal Weapons (hands,feet,teeth,etc.)"
20140114162902,"Personal Weapons (hands,feet,teeth,etc.)"
20140114170100,"Personal Weapons (hands,feet,teeth,etc.)"
20140114183803,"Personal Weapons (hands,feet,teeth,etc.)"
20140114184204,Handgun                                 
20140114190900,"Personal Weapons (hands,feet,teeth,etc.)"
20140114193800,Handgun                                 
20140114215602,Handgun                                 
20140114224301,Handgun                                 
20140115000001,Handgun                                 
20140115011200,"Personal Weapons (hands,feet,teeth,etc.)"
20140115014800,"Personal Weapons (hands,feet,teeth,etc.)"
20140115041002,Handgun                                 
20140115055500,Other Cutting Instrument                
20140115070002,Not Applicable/None                     
20140115073401,Handgun                                 
20140115082200,Not Applicable/None                     
20140115085804,"Personal Weapons (hands,feet,teeth,etc.)"
20140115094200,Handgun                                 
20140115102001,Handgun                                 
20140115103602,Not Applicable/None                     
20140115105301,Handgun                                 
20140115113200,"Personal Weapons (hands,feet,teeth,etc.)"
20140115114302,"Personal Weapons (hands,feet,teeth,etc.)"
20140115114602,"Personal Weapons (hands,feet,teeth,etc.)"
20140115115901,Other Weapon                            
20140115124201,"Personal Weapons (hands,feet,teeth,etc.)"
20140115142704,"Personal Weapons (hands,feet,teeth,etc.)"
20140115143005,Handgun                                 
20140115145100,Rifle                                   
